
|央视频道|,#genre#
CCTV-10科教,http://39.135.34.151:18890/000000001000/7019587760656900133/1.m3u8?channel-id=ystenlive&Contentid=7019587760656900133&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=7019587760656900133&owchid=ystenlive&owsid=1106497909461152716&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5DtJGdM%2bq9fDiivHNjKl%2bK%2b9%2fvTG5xUEzd4ADPtXjiSOOAPl07bvHVEc1KInbp3p%2fXrmwsjTHZ%2fLcoxEWqnCxI
CCTV-11戏曲,http://39.135.34.157:18890/000000001000/1000000002000019789/1.m3u8?channel-id=ystenlive&Contentid=1000000002000019789&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000002000019789&owchid=ystenlive&owsid=1106497909461158507&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5oj7lZFbEKIj3xJcvQPkjhUELVtb8TDQzMSm5TScAJJF9JU4YcW5z4YHYDU6y7yn5EMhEqmI%2fAHiE6j4Y95QQ6
CCTV-12社会与法,http://39.135.34.153:18890/000000001000/5325631075193490169/1.m3u8?channel-id=ystenlive&Contentid=5325631075193490169&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=5325631075193490169&owchid=ystenlive&owsid=1106497909461165978&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7Q36zc4fu7NwQ%2fn1v2mTHqagOL8gLhzmY66HLCxgy24bGH5Xn1D6yEQdwViWmtBz15WRKuKxWsf0XH20JE0dby
CCTV-13新闻,http://39.135.34.142:18890/000000001000/1000000002000021303/1.m3u8?channel-id=ystenlive&Contentid=1000000002000021303&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000002000021303&owchid=ystenlive&owsid=1106497909461172796&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5oj7lZFbEKIj3xJcvQPkjht3HVAbnHsmZNUh9hfpXto6CyOW1rkA%2biXZhxwyg0QWyFIN7oKbswdBdf7iWy8vlE
CCTV-14少儿,http://39.135.34.147:18890/000000001000/8203666801302077036/1.m3u8?channel-id=ystenlive&Contentid=8203666801302077036&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=8203666801302077036&owchid=ystenlive&owsid=1106497909461179285&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5OdsPl7aB2c%2fh9IG5fEu5Y1yWuhr6PsL8ovQK5JmdmvjbSpXjguwCa8emDxg5lQPKN6B6go0yKDtys3NmnOM6U
CCTV-15音乐,http://39.135.34.158:18890/000000001000/1000000002000008163/1.m3u8?channel-id=ystenlive&Contentid=1000000002000008163&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000002000008163&owchid=ystenlive&owsid=1106497909461186580&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5oj7lZFbEKIj3xJcvQPkjhY20qRt7%2f617UUdZqFKeX8uE3lV%2bUYqhdkQW8TTtgMeMYnBWivLOAtJKqm6UM8Epy
CCTV-5+体育,http://39.135.34.152:18890/000000001000/1000000001000020505/1.m3u8?channel-id=ystenlive&Contentid=1000000001000020505&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000020505&owchid=ystenlive&owsid=1106497909461103025&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaRkrZ1YVus93dDbxNB4SF1DDcF4ZpIL8iGHt%2bMdt2ZAOlknlq9lyy%2fQZJVqiFUxfle
CCTV-17农村农业,http://39.135.34.140:18890/000000001000/1000000005000056836/1.m3u8?channel-id=ystenlive&Contentid=1000000005000056836&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000005000056836&owchid=ystenlive&owsid=1106497909461196027&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE6skxOPttMtBQzbEMb71jMrM9bNA5sjuldmGASVEj1FB1TOzqCEWAK6w%2FJbtYz8kEYu99sUSfTSd48Av%2FzOzjC1
|地方频道|,#genre#
北京卫视HD,http://ivi.bupt.edu.cn/hls/btv1hd.m3u8
北京卫视,http://ivi.bupt.edu.cn/hls/btv1.m3u8
北京文艺,http://ivi.bupt.edu.cn/hls/btv2.m3u8
北京科教,http://ivi.bupt.edu.cn/hls/btv3.m3u8
北京影视,http://ivi.bupt.edu.cn/hls/btv4.m3u8
北京财经,http://ivi.bupt.edu.cn/hls/btv5.m3u8
北京生活,http://ivi.bupt.edu.cn/hls/btv7.m3u8
北京青年,http://ivi.bupt.edu.cn/hls/btv8.m3u8
北京新闻,http://ivi.bupt.edu.cn/hls/btv9.m3u8
湖南卫视HD,http://ivi.bupt.edu.cn/hls/hunanhd.m3u8
江苏卫视HD,http://ivi.bupt.edu.cn/hls/jshd.m3u8
浙江卫视HD,http://ivi.bupt.edu.cn/hls/zjhd.m3u8
安徽卫视HD,http://ivi.bupt.edu.cn/hls/ahhd.m3u8
黑龙江卫视HD,http://ivi.bupt.edu.cn/hls/hljhd.m3u8
深圳卫视HD,http://ivi.bupt.edu.cn/hls/szhd.m3u8
广东卫视HD,http://ivi.bupt.edu.cn/hls/gdhd.m3u8
天津卫视HD,http://ivi.bupt.edu.cn/hls/tjhd.m3u8
湖北卫视HD,http://ivi.bupt.edu.cn/hls/hbhd.m3u8
北京影视,http://101.89.132.136:80/live/tm-btv4-4000k.m3u8
北京纪实,http://101.89.132.136:80/live/tm-btvjishihd-4000k.m3u8
北京文艺,http://101.89.132.136:80/live/tm-btv2hd-4000k.m3u8
北京新闻,http://101.89.132.136:80/live/tm-btv9-4000k.m3u8
北京卫视,http://101.89.132.136:80/live/tm-btv1hd-4000k.m3u8
安徽卫视,http://101.89.132.136:80/live/tm-ahwshd-4000k.m3u8
东方卫视,http://101.89.132.136:80/live/tm-dfwshd-4000k.m3u8
深圳卫视,http://101.89.132.136:80/live/tm-shenzhenhd-4000k.m3u8
辽宁卫视,http://101.89.132.136:80/live/tm-liaoninghd-4000k.m3u8
峨眉电影HD,http://scgctvshow.sctv.com/hdlive/emei/3.m3u8
厦门卫视,http://cstvpull.live.wscdns.com/live/xiamen.flv
厦门二套,http://cstvpull.live.wscdns.com/live/xiamen2.flv
厦门三套,http://cstvpull.live.wscdns.com/live/xiamen3.flv
厦门移动电视,http://cstvpull.live.wscdns.com/live/xiamenyidong.flv
北京卫视高清,http://ivi.bupt.edu.cn/hls/btv1hd.m3u8
北京文艺高清,http://ivi.bupt.edu.cn/hls/btv2hd.m3u8
北京纪实高清,http://ivi.bupt.edu.cn/hls/btv11hd.m3u8
湖南卫视高清,http://ivi.bupt.edu.cn/hls/hunanhd.m3u8
浙江卫视高清,http://ivi.bupt.edu.cn/hls/zjhd.m3u8
江苏卫视高清,http://ivi.bupt.edu.cn/hls/jshd.m3u8
东方卫视高清,http://ivi.bupt.edu.cn/hls/dfhd.m3u8
安徽卫视高清,http://ivi.bupt.edu.cn/hls/ahhd.m3u8
辽宁卫视高清,http://ivi.bupt.edu.cn/hls/lnhd.m3u8
深圳卫视高清,http://ivi.bupt.edu.cn/hls/szhd.m3u8
广东卫视高清,http://ivi.bupt.edu.cn/hls/gdhd.m3u8
天津卫视高清,http://ivi.bupt.edu.cn/hls/tjhd.m3u8
湖北卫视高清,http://ivi.bupt.edu.cn/hls/hbhd.m3u8
山东卫视高清,http://ivi.bupt.edu.cn/hls/sdhd.m3u8
重庆卫视高清,http://ivi.bupt.edu.cn/hls/cqhd.m3u8
北京卡酷少儿,http://ivi.bupt.edu.cn/hls/btv10.m3u8
深圳卫视,http://ivi.bupt.edu.cn/hls/sztv.m3u8
安徽卫视,http://ivi.bupt.edu.cn/hls/ahtv.m3u8
河南卫视,http://ivi.bupt.edu.cn/hls/hntv.m3u8
陕西卫视,http://ivi.bupt.edu.cn/hls/sxtv.m3u8
吉林卫视,http://ivi.bupt.edu.cn/hls/jltv.m3u8
广东卫视,http://ivi.bupt.edu.cn/hls/gdtv.m3u8
山东卫视,http://ivi.bupt.edu.cn/hls/sdtv.m3u8
湖北卫视,http://ivi.bupt.edu.cn/hls/hbtv.m3u8
广西卫视,http://ivi.bupt.edu.cn/hls/gxtv.m3u8
河北卫视,http://ivi.bupt.edu.cn/hls/hebtv.m3u8
西藏卫视,http://ivi.bupt.edu.cn/hls/xztv.m3u8
青海卫视,http://ivi.bupt.edu.cn/hls/qhtv.m3u8
四川卫视,http://ivi.bupt.edu.cn/hls/sctv.m3u8
江苏卫视,http://ivi.bupt.edu.cn/hls/jstv.m3u8
天津卫视,http://ivi.bupt.edu.cn/hls/tjtv.m3u8
山西卫视,http://ivi.bupt.edu.cn/hls/sxrtv.m3u8
辽宁卫视,http://ivi.bupt.edu.cn/hls/lntv.m3u8
厦门卫视,http://ivi.bupt.edu.cn/hls/xmtv.m3u8
新疆卫视,http://ivi.bupt.edu.cn/hls/xjtv.m3u8
东方卫视,http://ivi.bupt.edu.cn/hls/dftv.m3u8
湖南卫视,http://ivi.bupt.edu.cn/hls/hunantv.m3u8
云南卫视,http://ivi.bupt.edu.cn/hls/yntv.m3u8
江西卫视,http://ivi.bupt.edu.cn/hls/jxtv.m3u8
福建东南卫视,http://ivi.bupt.edu.cn/hls/dntv.m3u8
浙江卫视,http://ivi.bupt.edu.cn/hls/zjtv.m3u8
贵州卫视,http://ivi.bupt.edu.cn/hls/gztv.m3u8
宁夏卫视,http://ivi.bupt.edu.cn/hls/nxtv.m3u8
甘肃卫视,http://ivi.bupt.edu.cn/hls/gstv.m3u8
重庆卫视,http://ivi.bupt.edu.cn/hls/cqtv.m3u8
兵团卫视,http://ivi.bupt.edu.cn/hls/bttv.m3u8
旅游卫视,http://ivi.bupt.edu.cn/hls/lytv.m3u8
安徽卫视HD,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221225900/1.m3u8
东方财经-浦东,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221225812/1.m3u8
东南卫视HD,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221225899/1.m3u8
广东卫视HD,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221225772/1.m3u8
湖北卫视HD,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221225749/1.m3u8
吉林卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221225709/1.m3u8
江苏卫视HD,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221225762/1.m3u8
江西卫视HD,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221225897/1.m3u8
辽宁卫视HD,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221225901/1.m3u8
旅游卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221225705/1.m3u8
山西卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221225746/1.m3u8
陕西卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221225724/1.m3u8
上海法制天地,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221225831/1.m3u8
天津卫视HD,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221225898/1.m3u8
湖南卫视高清,http://39.135.34.153:18890/000000001000/1000000001000009115/1.m3u8?channel-id=ystenlive&Contentid=1000000001000009115&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000009115&owchid=ystenlive&owsid=1106497909461209970&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaRJ1HPTMtmQf%2bVwcp8RojByB2Rhtn7waHVWUQ9gcJ0mHLEp3xuYtoWp3K%2bdNVn%2bMR4
北京卫视高清,http://39.135.34.143:18890/000000001000/1000000001000017156/1.m3u8?channel-id=ystenlive&Contentid=1000000001000017156&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000017156&owchid=ystenlive&owsid=1106497909461249865&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaRV7KOtBVuvtVZFLcgrBAOKYd9hOl8T7nV%2fYYLzxPrqZvxI1UedirhXiKrowSY0GL9
浙江卫视高清,http://39.135.34.146:18890/000000001000/1000000001000009806/1.m3u8?channel-id=ystenlive&Contentid=1000000001000009806&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000009806&owchid=ystenlive&owsid=1106497909461218392&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaRt6tuEx40ruFSJnrbh2BVWwXsEFuvV04XsE9ZOm50Z8cpDzo0JrXSxYrVj73IVRt9
江苏卫视高清,http://39.135.34.157:18890/000000001000/1000000001000004684/1.m3u8?channel-id=ystenlive&Contentid=1000000001000004684&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000004684&owchid=ystenlive&owsid=1106497909461243101&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaR80rubnSCCYHmxBfxTMKdNm%2bh%2bLn%2bBGibQYrxMgSwIzfH44Sn0OHT9L7pQFHxSW%2fJ
东方卫视高清,http://39.135.34.143:18890/000000001000/1000000001000030202/1.m3u8?channel-id=ystenlive&Contentid=1000000001000030202&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000030202&owchid=ystenlive&owsid=1106497909461236159&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaR5IXgk%2B6a%2BY1Viivj30IkCl065X8GSWgqnbGOJH69GYNl9jXWqt3b3Vkm63dGSY%2B5
安徽卫视高清,http://39.135.34.157:18890/000000001000/4774346722046993363/1.m3u8?channel-id=ystenlive&Contentid=4774346722046993363&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=4774346722046993363&owchid=ystenlive&owsid=1106497909461303710&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE6rtwuCbF0UBw1ECKohiyVXtAaM2LAoJTgBkO9sqSP7vGKF4XQrqmpBPeC9CblENbpBoei4M1GZJUNAFlnpSFVM
黑龙江卫视高清,http://39.135.34.140:18890/000000001000/8467838254824392379/1.m3u8?channel-id=ystenlive&Contentid=8467838254824392379&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=8467838254824392379&owchid=ystenlive&owsid=1106497909461358444&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5eLzTptYlaHwBbi5jFcfGGajSKACYh%2bxMIkH12jcM41WvzLTRYworzrZ3FKkyeJf%2fWTgBHYgXtjL76Tybav9u%2b
辽宁卫视高清,http://39.135.34.150:18890/000000001000/1000000002000024033/1.m3u8?channel-id=ystenlive&Contentid=1000000002000024033&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000002000024033&owchid=ystenlive&owsid=1106497909461352974&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5oj7lZFbEKIj3xJcvQPkjhQBci%2f2KtFqbPb5lYHzQlehPnBUBV7gDU5NsQ1fq2DyLArxZhG%2bC4a49jTs%2bwbEKo
深圳卫视高清,http://39.135.34.150:18890/000000001000/1000000001000011645/1.m3u8?channel-id=ystenlive&Contentid=1000000001000011645&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000011645&owchid=ystenlive&owsid=1106497909461286475&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaRi%2fGQBc72yY6Quo0JMFE7sAOH9P3BRKKjlume5S4R4Q4D5A%2fuxi3rN%2bHd%2bNxeQD8d
广东卫视高清,http://39.135.34.155:18890/000000001000/1000000001000028357/1.m3u8?channel-id=ystenlive&Contentid=1000000001000028357&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000028357&owchid=ystenlive&owsid=1106497909461262352&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaROVzE3kgfqbxbWUefjzmwWM6UWM1tPF3fcVILxO8TukKPE2BY%2fTje83gAnl%2fZNkb%2b
天津卫视高清,http://39.135.34.157:18890/000000001000/1000000001000000831/1.m3u8?channel-id=ystenlive&Contentid=1000000001000000831&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000000831&owchid=ystenlive&owsid=1106497909461255731&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaRcs9zLA6x183T6XfyDHK2Forh1U1TuZtCxYnIsImE91weAhYebQgGPi666EsPHwzC
湖北卫视高清,http://39.135.34.152:18890/000000001000/6956052407855047826/1.m3u8?channel-id=ystenlive&Contentid=6956052407855047826&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=6956052407855047826&owchid=ystenlive&owsid=1106497909461296919&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5Z%2bo9LRgIMhzyly%2bN8KnqBuGO27GhSxZzEXYI6euRzJ3HshWQhVCNxJrt91pPA8t7cjGpkhpIVoXJ0Jyemr0DA
山东卫视高清,http://39.135.34.142:18890/000000001000/1000000001000012807/1.m3u8?channel-id=ystenlive&Contentid=1000000001000012807&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000012807&owchid=ystenlive&owsid=1106497909461291586&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7AORAoVDZDWbFnJ0sXJEaR3cBsIsjm7UHdGO3a4NjD1C4TiYtYt%2by66pvMI%2bkz57DAkgjzetftIzpJRR8RWa0K
重庆卫视高清,http://39.135.34.150:18890/000000001000/1000000002000018937/1.m3u8?channel-id=ystenlive&Contentid=1000000002000018937&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000002000018937&owchid=ystenlive&owsid=1106497909461333042&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5oj7lZFbEKIj3xJcvQPkjhUG5grAC0rFEDUfNPlNhZzLoghzkGon0cjoqXWi7%2bGPbWnsToB9Z5BcGamUzvzuTi
河南卫视,http://ivi.bupt.edu.cn/hls/hntv.m3u8
陕西卫视,http://39.135.34.139:18890/000000001000/1000000002000007495/1.m3u8?channel-id=ystenlive&Contentid=1000000002000007495&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=bd8bb70bdb2b54bd84b587dffa024f7621vv&usergroup=g21077200000&version=1.0&owaccmark=1000000002000007495&owchid=ystenlive&owsid=1106497909461393057&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5oj7lZFbEKIj3xJcvQPkjhC1U23M2CL94H7Jl9UsXCcDV0kHzvpufT%2f4%2bgoUc31ou2LTka7qAY0hPTMutW5mQ%2b
